Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items
5c1942e200849900010afdcd,0.4182239357849638,0.29645402720787517,6.3513484734802,0.8684800094450386,18
5c4a428161c51f0001e96b3f,0.3814046325201833,0.25177244980115526,5.796572491170818,1.0364837575630015,17
5d3cc9010e510a00013df6f6,0.39295966699537654,0.23098428032002447,6.092459410073926,0.7284334301142301,10
5e7fefe06c12706d47e35211,0.3410451919178146,0.19635362973636417,5.996126223233926,0.5769643218042477,16
5e8a76b3939b3072dc76fb5c,0.31561484942536266,0.05912388591254841,6.3090891346304625,0.7850463604874395,11
5f6c102b6ec04317fc9a8127,0.36196449604982234,0.20723514429207096,6.334671774942752,0.5324104693139281,13
5fc6df58f380620a09116434,0.36386414885148405,0.18266351627544566,6.414583355951907,0.7121618548989116,19
60da4f9aa1ced7efeecca18a,0.4004021987776465,0.19388296722360412,5.876711917576295,0.42940705058646583,13
60fcf1a04c245326d05076e0,0.19503278159365714,0.07334062863101462,6.21969343453774,1.2330711990292715,4
61035836646fb6ee2152f950,0.30871062833145246,0.04130987207326257,6.188845940872025,0.5650983589330345,10
612e6569f68929afb886fb5c,0.384531680553965,0.24563618529613987,6.115759364444811,0.9136520990273564,17
65512e3cc12f463bc327b7c3,0.3088881607487177,0.07185658108820672,6.266080985625577,0.7570812636842389,12
65778c02cde55736bb830eca,0.3480942431532926,0.22856225984015566,6.400533979240653,0.5053129517147854,12
6595e3b4dc9090390e4edb5f,0.40820588066710767,0.25709149671171244,6.199628825110488,0.39211994749416546,15
65c10fdabd93bdc59f95835b,0.4076559886126078,0.29844226056171125,6.737312090597679,0.8294859439214245,7
65c18079d4f634d2c8a0728c,0.3499082583424835,0.19743740021056905,6.383791120704121,0.904663792280723,15
65cb586172a8853f26cc8eec,0.5195786304242345,0.3354475765645759,6.620630720864739,0.7120868179408716,11
65cbcaaab9e2fae86452af73,0.3176753606303467,0.09588189764616355,6.421523393157423,0.9798946920835032,8
65cc2139907d390e13480a97,0.34317436956868835,0.2057840771306232,6.368887133488443,0.559903261214007,14
65d26dcd13d9c8026aa92c4a,0.2946669654486566,0.258843672035473,5.381707296373623,1.0303712054048446,11
65d6af2397543519d98f2498,0.480139490016242,0.32330330774994936,6.30486151655791,0.32469518079152254,9
65e63b7fc845c96c2c2520bc,0.3405122174663039,0.20475190160277282,6.169753450055525,0.7196425830730897,15
65eeceee847314e8232923c9,0.2689828223378802,0.06116066777823444,5.76133145438481,0.6640784390632809,9
65ef726771fe85fd222416d1,0.45895958760067174,0.2662064289798106,5.973272537730405,0.6550526222660094,23
65f1ec7ae5a09035345db62e,0.4638920917029172,0.3034681115591759,6.347354914590456,0.7277239486373349,27
65f36565fe88b95d6806e496,0.3587262061348565,0.2293282812554313,6.49106291123474,0.9268788970800211,11
65f3d5016e5acb0fd67df6ee,0.2460640095624878,0.10771354248954017,6.06697959229721,0.9674688367971118,5
